Label,sample_type,CLO_C,CLO_4o,CL_C,CL_4o,UBERON_C,UBERON_4o,BTO_C,BTO_4o,UBERON_t2t,BTO_t2t,CLO_t2t,CL_t2t
MDA-Pca-2b,CL,-,CLO_0002587,CL_0002231,CL_:0000000,UBERON_0002367,UBERON_:0000000,BTO_0005050,BTO_0000663,GO_1904948,BTO_0005050,CLO_0007629,CL_0002215
PC_3,CL,CLO_0008395,CLO_0007205,CL_0002231,CL_0000000,UBERON_0002367,UBERON_0000000,BTO_0001061,BTO_0001231,UBERON_0001965,BTO_0005498,CLO_0008390,CL_0002619
PA-1,CL,CLO_0008350,CLO_0002557,CL_0000021,CL_0000000,UBERON_0000992,UBERON_0000000,BTO_0001591,BTO_0000292,UBERON_0003143,BTO_0004771,CLO_0008347,PR_000001968
SNU-398,CL,CLO_0009098,CLO_0002495,CL_0000182,CL_0000000,UBERON_0002107,UBERON_0000000,BTO_0003170,BTO_0000248,UBERON_2001398,BTO_0003170,CLO_0009098,-
epidermoid carcinoma cell line:Ca Ski,CL,CLO_0002165,CLO_0002471,CL_1001575,CL_0000000,UBERON_0000002,UBERON_0000000,BTO_0003109,BTO_0000229,CL_0000362,BTO_0005264,DOID_3151,CL_0000362
NT2-D1,CL,CLO_0008207,CLO_0002791,CL_0002248,CL_0000000,UBERON_0000473,UBERON_0000000,BTO_0000946,BTO_0003098,UBERON_2001339,BTO_0000946,CLO_0008207,CL_0003026
A549_1,CL,CLO_0001601,CLO_0007764,CL_0000082,CL_0000182,UBERON_0002048,UBERON_0008952,BTO_0000018,BTO_0000014,-,BTO_0005816,CLO_0001601,-
iPS-DF-6.9,CL,CLO_0037308,CLO_0006966,CL_0002248,CL_0000015,-,UBERON_0001005,-,BTO_0004272,UBERON_2001840,-,CLO_0002755,-
Rh1,CL,CLO_0009878,CLO_0032936,CL_0002322,CL_0009000,-,UBERON_0010314,BTO_0005378,BTO_0002970,-,-,CLO_0008812,PR_000008982
BCBL-1,CL,-,CLO_0002387,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000455,BTO_0002727,BTO_0000930,UBERON_0006107,BTO_0002727,CLO_0008761,-
MOLM13_SIK3TQ,CL,CLO_0009848,CLO_0051280,CL_0000763,CL_0000542,UBERON_0000178,UBERON_0000000,BTO_0004175,BTO_0000647,-,BTO_0004175,CLO_0009848,-
U266_plasma_cell_myeloma,CL,CLO_0009457,CLO_0002264,CL_0000763,CL_0000785,UBERON_0000178,UBERON_0002385,BTO_0001594,BTO_0001161,CL_0000786,BTO_0000392,CL_0000786,CL_0000786
iPS-20b_Cell_Line,CL,CLO_0037308,CLO_0037296,CL_0002248,CL_0000010,-,UBERON_0000468,-,BTO_0002692,CL_0000039,BTO_0000374,CLO_0000001,CL_0007015
HUDEP-2_WT,CL,-,CLO_0034335,CL_0000038,CL_0000188,UBERON_0012168,UBERON_0000178,-,BTO_0002051,-,-,-,-
GBM_R28,CL,-,CLO_0001232,CL_0002319,CL_0002598,UBERON_0000955,UBERON_0000956,-,BTO_0000312,UBERON_0005569,-,DOID_3068,CL_0000690
HPAFII WT,CL,-,CLO_0050841,CL_1001599,CL_0000000,UBERON_0001264,UBERON_0000000,BTO_0003266,BTO_0006300,PR_Q02548,BTO_0003266,CLO_0003816,PR_P26367
RL_R1446C_gRNA1,CL,CLO_0008828,CLO_0037298,CL_0000236,CL_0009015,UBERON_0000178,UBERON_0000000,BTO_0003230,BTO_0000000,-,BTO_0003230,CLO_0008828,-
SK-N-BE_2_-C_naive_JQ1,CL,CLO_0009053,CLO_0050851,CL_0000031,CL_0000169,UBERON_0001016,UBERON_0000955,BTO_0004782,BTO_0000667,CL_0000788,BTO_0005871,CL_0000898,CL_0000898
T778,CL,-,CLO_0022474,CL_0000057,CL_0000056,UBERON_0003693,UBERON_0002048,-,BTO_0000111,-,-,CLO_0024635,-
cord blood derived cell line:COBL-a untreated,CL,-,CLO_0000474,CL_0000988,CL_0000897,UBERON_0002331,UBERON_0012168,-,BTO_0000296,CL_0000232,BTO_0002667,CL_0000081,CL_0000081
PEO1_ovarian_cystadenocarcinoma,CL,-,CLO_0007781,CL_0000066,CL_0000000,UBERON_0000992,UBERON_0000000,BTO_0005796,BTO_0005211,UBERON_0001145,BTO_0005122,DOID_3713,UBERON_0006960
HCT116_Heterozygous_ARID1A-KO,CL,CLO_0003665,CLO_0050461,CL_0011108,CL_0000057,UBERON_0001155,UBERON_0000478,BTO_0001109,BTO_0002747,-,BTO_0000600,-,-
MG63,CL,CLO_0007699,CLO_0008648,CL_0001035,CL_0000000,UBERON_0002481,UBERON_0000000,BTO_0001596,BTO_0000845,-,BTO_0001596,CLO_0007699,-
RL95-2_endometrial_adenosquamous_carcinoma,CL,CLO_0008830,CLO_0007824,CL_0002149,CL_0000000,UBERON_0001295,UBERON_0002097,BTO_0004491,BTO_0000130,UBERON_0002337,BTO_0003849,DOID_2871,UBERON_0002337
EEC16,CL,-,CLO_0050855,CL_0000066,CL_0000001,UBERON_0000992,UBERON_0002107,-,BTO_0003670,-,-,CLO_0002096,-
GM12871_male_B-cells,CL,CLO_0022828,CLO_0000127,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000178,-,BTO_0000162,CL_0000015,BTO_0001655,CLO_0022828,CL_0000015
NCI-H1975,CL,CLO_0008035,CLO_0003408,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0004824,BTO_0004372,-,BTO_0004824,CLO_0008035,-
RMS237,CL,-,CLO_0000247,CL_0000737,CL_0000048,UBERON_0002036,UBERON_0002107,BTO_0001802,BTO_0000607,-,-,CLO_0035378,-
PATU8988,CL,CLO_0008383,CLO_0002894,CL_0000083,CL_0000000,UBERON_0001264,UBERON_0000000,BTO_0005191,BTO_0000123,-,BTO_0005191,CLO_0011104,-
SUIT2_MTV,CL,CLO_0037114,CLO_0050837,CL_1001433,CL_0000000,UBERON_0000017,UBERON_0000000,BTO_0003493,BTO_0001682,UBERON_0006337,BTO_0003493,CLO_0037114,-
PANC1_3,CL,CLO_0008381,CLO_0003131,CL_0000169,CL_0000057,UBERON_0001264,UBERON_0000000,BTO_0000304,BTO_0002091,NCBITAXON_9596,BTO_0000304,NCBITAXON_9596,UBERON_0001264
A-549,CL,CLO_0001601,CLO_0007788,CL_0000082,CL_0008001,UBERON_0002048,UBERON_0000000,BTO_0000018,BTO_0000003,-,BTO_0000018,CLO_0036157,-
CLB-GA,CL,-,CLO_0050857,CL_0000031,CL_0000875,UBERON_0001016,UBERON_0010414,-,BTO_0003913,UBERON_0008791,-,CLO_0003438,-
Kasumi-1,CL,CLO_0007069,CLO_0002478,CL_0000763,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0004136,BTO_0000205,UBERON_0007362,BTO_0004136,CLO_0007069,-
H9_Derived_Neuronal_Progenitor_Cultured_Cells,CL,-,CLO_0006369,CL_0011020,CL_0000062,UBERON_0001016,UBERON_0014323,-,BTO_0005900,CL_0011026,BTO_0000214,CL_0000010,CL_0011020
HUVEC-C_HUVEC_umbilical_vein_endothelial_cells_TNF_30M,CL,CLO_0004307,CLO_0003707,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0001038,BTO_0001949,BTO_0000461,CL_0002618,BTO_0004296,CLO_0000780,CL_0002618
IMEC,CL,-,CLO_0002862,CL_0002327,-,UBERON_0000310,-,BTO_0004896,BTO_0001189,CL_0011030,BTO_0004896,CLO_0009608,CL_0011030
H7-WT,CL,-,CLO_0003619,CL_0002322,CL_0002329,-,UBERON_0000955,BTO_0006061,BTO_0001147,-,-,CLO_0001348,-
serous adenocarcinoma cell line:JHOS-2,CL,CLO_0051440,CLO_0002526,CL_2000063,CL_0000000,UBERON_0000992,UBERON_0000000,-,BTO_0002533,CL_0000313,BTO_0003803,DOID_5744,CL_0000313
HEK293 no dox,CL,CLO_0001230,CLO_0003684,CL_0002518,CL_0002326,UBERON_0002113,UBERON_0000467,BTO_0000007,BTO_0001222,-,BTO_0000007,CLO_0001230,-
FW18,CL,-,CLO_0009250,CL_0009004,CL_000000,UBERON_0000966,UBERON_0000000,-,BTO_0000000,-,-,CLO_0003408,-
glioma cell line:GI-1,CL,CLO_0050634,CLO_0037226,CL_0000125,CL_0000747,UBERON_0000955,UBERON_0000955,-,BTO_0000522,CL_0000125,BTO_0000711,EFO_0000520,CL_0000125
MCF7_Invasive_ductal_breast_carcinoma_TAM,CL,CLO_0007606,CLO_0007981,CL_0002327,CL_0002325,UBERON_0000310,UBERON_0001822,BTO_0000093,BTO_0000257,UBERON_0000310,BTO_0002844,DOID_3008,UBERON_0000310
endometrial stromal sarcoma cell line:OMC-9,CL,CLO_0050888,CLO_0050668,CL_0002255,CL_0008000,UBERON_0001295,UBERON_0001295,-,BTO_0005913,CL_0002255,BTO_0003598,DOID_4226,CL_0002255
LPS141,CL,-,CLO_0051527,CL_0000136,CL_2000031,UBERON_0001013,UBERON_0001027,-,BTO_0000112,-,BTO_0006526,CLO_0030826,PR_000002105
HepG2_shNS,CL,CLO_0003704,CLO_0002044,CL_0000182,CL_0000182,UBERON_0002107,UBERON_0002107,BTO_0000599,BTO_0003661,-,BTO_0006301,CLO_0037360,-
RPMI 2650,CL,CLO_0008876,CLO_0003451,CL_0000076,CL_0000000,UBERON_0001706,UBERON_0000000,BTO_0004205,BTO_0001088,-,BTO_0004205,CLO_0008869,-
15242A,CL,-,CLO_0001584,CL_0000192,CL_0000057,UBERON_0000995,UBERON_0000000,-,BTO_0000000,UBERON_0015242,-,CLO_0027447,-
LNCaP_C4-2B_prostate_carcinoma_R1881_SHCTR,CL,-,CLO_0002224,CL_0002231,CL_0002322,UBERON_0002367,UBERON_0002367,BTO_0004959,BTO_0000801,UBERON_0002367,BTO_0002021,DOID_10286,UBERON_0002367
HSQ-89,CL,CLO_0050085,CLO_0009786,CL_0000076,CL_0000000,UBERON_0001707,UBERON_0000000,-,BTO_0006316,-,-,CLO_0007858,-
L1236_Hodgkin_lymphoma,CL,CLO_0037179,CLO_0009024,CL_0000542,CL_0001051,UBERON_0000178,UBERON_0000029,-,BTO_0005280,-,BTO_0004974,DOID_8567,-
SaOS2_osteosarcoma,CL,CLO_0008947,CLO_0007706,CL_0001035,CL_0000000,UBERON_0002481,UBERON_0000000,BTO_0000971,BTO_0001880,PR_P01101,BTO_0000970,EFO_0000637,PR_P01101
SET2,CL,-,CLO_0050913,CL_0000553,CL_0000868,UBERON_0002371,UBERON_0013704,-,BTO_0000895,UBERON_0001032,BTO_0004212,UBERON_0001032,UBERON_0001032
MCF7_Invasive_ductal_breast_carcinoma_DEX,CL,CLO_0007606,CLO_0002312,CL_0002327,CL_0002326,UBERON_0000310,UBERON_0000310,BTO_0000093,BTO_0000357,UBERON_0000310,BTO_0002844,DOID_3008,UBERON_0000310
NCI-H1048,CL,CLO_0007979,CLO_0002841,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0005974,BTO_0005842,-,BTO_0005974,CLO_0007979,-
HuH-7,CL,CLO_0050850,CLO_0002770,CL_0000182,CL_0002323,UBERON_0002107,UBERON_0002073,BTO_0001950,BTO_0002042,UBERON_0016857,BTO_0005773,CLO_0009989,-
WT 9-12_control_Nrf2_SFN,CL,-,CLO_0008980,CL_1000497,CL_0000233,UBERON_0002113,UBERON_0002298,-,BTO_0003240,GO_0003071,-,-,GO_0003071
HAP1_WT,CL,-,CLO_0007863,CL_0000763,CL_0000000,UBERON_0002371,UBERON_0000000,-,BTO_0000000,PATO_0001375,BTO_0003618,PATO_0001375,ENSEMBL_ENSG00000137804
MCF7_Invasive_ductal_breast_carcinoma_E2_SHCTCF,CL,CLO_0007606,CLO_0007615,CL_0002327,CL_0002329,UBERON_0000310,UBERON_0001891,BTO_0000093,BTO_0000268,UBERON_0000310,BTO_0002844,DOID_3008,UBERON_0000310
acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL,CL,CLO_0003817,CLO_0008230,CL_0000084,CL_0000451,UBERON_0000178,UBERON_0002048,BTO_0001952,BTO_0002763,PR_000016043,BTO_0002144,DOID_5603,PR_000016043
K562_MYO1D_Hub_KO,CL,CLO_0007059,CLO_0002732,CL_0000763,CL_0000094,UBERON_0002371,UBERON_0002367,BTO_0000664,BTO_0003493,-,-,CLO_0007060,-
BT245,CL,-,CLO_0002928,CL_0000031,CL_0000000,UBERON_0001016,UBERON_0000000,BTO_0005952,BTO_0000217,UBERON_0003245,BTO_0005952,CLO_0035384,-
MCF7_TET2WT-E2,CL,CLO_0007606,CLO_0001163,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000093,BTO_0000065,-,BTO_0004654,CLO_0007606,-
A1A3,CL,-,CLO_0000043,CL_0002327,CL_0002231,UBERON_0000310,UBERON_0006620,-,BTO_0000001,UBERON_0003883,BTO_0001342,CLO_0007948,PR_000004919
HUES48 cells,CL,-,CLO_0037311,CL_0002322,CL_0002319,UBERON_0000922,UBERON_0000104,-,BTO_0000590,UBERON_2000711,BTO_0002158,CLO_0037316,-
786-O_HIF2A,CL,CLO_0001486,CLO_0002253,CL_1000497,CL_0000182,UBERON_0002113,UBERON_0006535,-,BTO_0000003,-,-,-,-
HeLa-S3 cervical carcinoma,CL,CLO_0003696,CLO_0007773,CL_0002535,CL_0002325,UBERON_0000002,UBERON_0002384,BTO_0000568,BTO_0000246,UBERON_0000962,BTO_0000180,-,UBERON_0000962
TEX-Luciferase-Rx_cells,CL,-,CLO_0050871,CL_0000034,CL_2000010,UBERON_0002371,UBERON_0000468,BTO_0006359,BTO_0005009,UBERON_2007011,BTO_0006359,PR_000006611,CL_0011025
OCI-LY3_diffuse_large_B-cell_lymphoma,CL,-,CLO_0009144,CL_0000236,CL_0000236,UBERON_0002371,UBERON_0000029,-,BTO_0000352,UBERON_2000193,BTO_0002521,DOID_0060058,CL_4033027
P493-6_B-cell_lymphoma_SHTERT,CL,-,CLO_0033464,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000029,BTO_0003291,BTO_0000142,CL_0000236,BTO_0000785,DOID_0060058,PR_000003450
Mero-95,CL,-,CLO_0002974,CL_0000077,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0003922,-,BTO_0001444,CLO_0003231,PR_000001894
HCC-15,CL,CLO_0009999,CLO_0003638,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0000963,UBERON_2000852,BTO_0005295,CLO_0009999,PR_P06307
ES-UCSF4 cells,CL,-,CLO_0007631,CL_0002322,CL_0002327,UBERON_0000922,UBERON_0000104,-,BTO_0000239,-,-,-,-
MUTZ-3,CL,CLO_0007903,CLO_0002599,CL_0000763,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0001565,UBERON_0003045,BTO_0004768,CLO_0007901,-
MDA-MB-468_breast_adenocarcinoma,CL,CLO_0007641,CLO_0002767,CL_0002327,CL_0002321,UBERON_0000310,UBERON_0000310,BTO_0001570,BTO_0000268,UBERON_0000310,BTO_0001912,DOID_3458,UBERON_0000310
teratocarcinoma cell line:PA-1,CL,CLO_0008350,CLO_0007767,CL_0000021,CL_0000000,UBERON_0000992,UBERON_0000000,BTO_0001591,BTO_0001123,UBERON_0010202,BTO_0000306,CLO_0000001,UBERON_0010202
iPS DF 19.11 cells,CL,CLO_0037308,CLO_0007419,CL_0002248,CL_0000019,-,UBERON_0001062,-,BTO_0003753,UBERON_2000754,-,CLO_0002755,-
LNCaP_R1881,CL,CLO_0007365,CLO_0002327,CL_0002231,CL_0002328,UBERON_0002367,UBERON_0000000,BTO_0001321,BTO_0000055,-,BTO_0001321,CLO_0037116,CL_0000676
neuroectodermal tumor cell line:TASK1,CL,CLO_0037092,CLO_0001047,CL_0011012,CL_0008001,UBERON_0000010,UBERON_0002534,-,BTO_0000121,UBERON_0002346,BTO_0005120,DOID_171,UBERON_0002346
FW15,CL,-,CLO_0050847,CL_0009004,CL_0002319,UBERON_0000966,UBERON_0002107,-,BTO_0000322,-,-,CLO_0003408,-
SUP-B15_Childhood_B_acute_lymphoblastic_leukemia,CL,CLO_0009161,CLO_0007236,CL_0017006,CL_0000837,UBERON_0002371,UBERON_0000178,-,BTO_0005703,PR_000016043,BTO_0000731,DOID_7757,PR_000016043
OVCA429_shLuc,CL,-,CLO_0008258,CL_0000066,CL_0000000,UBERON_0000992,UBERON_0000000,BTO_0002564,BTO_0001505,-,BTO_0002564,CLO_0008279,-
Rec-1_GSI,CL,CLO_0037056,CLO_0007753,CL_0000236,CL_0000001,UBERON_0000178,UBERON_0006928,BTO_0003558,BTO_0000598,-,BTO_0003160,-,-
NCI-H1299_wtSMARCA4_Dox,CL,CLO_0007986,CLO_0002776,CL_0000082,CL_0000057,UBERON_0002048,UBERON_0000178,BTO_0002552,BTO_0002080,UBERON_0003884,BTO_0002552,CLO_0007986,UBERON_0003884
CRC_7A,CL,-,CLO_0007873,CL_0011108,CL_0002321,UBERON_0001155,UBERON_0000428,-,BTO_0006047,CL_0000669,-,-,CL_0000669
SMS-KCN,CL,-,CLO_0000281,CL_0000031,CL_0000000,UBERON_0001016,UBERON_0000000,BTO_0003548,BTO_0002368,NCBITAXON_131567,BTO_0003548,-,ENSEMBL_ENSG00000082482
LCLGM10861,CL,CLO_0024094,CLO_0050388,CL_0000236,CL_0000451,UBERON_0000178,UBERON_0000467,-,BTO_0000207,-,-,CLO_0024094,-
KYSE180,CL,CLO_0007130,CLO_0051434,CL_0000076,CL_0000000,UBERON_0001043,UBERON_0000000,-,BTO_0005883,-,BTO_0004461,CLO_0007130,PR_000001017
U87_FBS,CL,CLO_0009464,CLO_0002600,CL_0000127,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0002036,BTO_0000239,-,BTO_0006374,CLO_0009463,-
HCC1599,CL,CLO_0003641,CLO_0009275,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,-,BTO_0005778,-,-,CLO_0003641,PR_P06307
SU-DHL-2,CL,-,CLO_0003590,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0006463,BTO_0000180,-,BTO_0004076,DOID_8567,-
K562_native,CL,CLO_0007059,CLO_0003673,CL_0000763,CL_0000094,UBERON_0002371,UBERON_0000068,BTO_0000664,BTO_0000429,GO_0032815,BTO_0001434,CL_0000003,GO_0051134
mdamb175vii,CL,CLO_0007633,CLO_0002871,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0003471,BTO_0001099,-,BTO_0003471,CLO_0037291,-
SU-DHL-6_diffuse_large_B-cell_lymphoma,CL,CLO_0037063,CLO_0008414,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000029,-,BTO_0000268,UBERON_2000193,BTO_0002521,DOID_0060058,CL_4033032
iPS-18axian,CL,CLO_0037308,CLO_0003577,CL_0002248,CL_0001034,-,UBERON_0000468,-,BTO_0002774,UBERON_2000039,-,-,UBERON_0003897
HCC1954,CL,CLO_0003647,CLO_0050891,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0005368,BTO_0006055,-,BTO_0005368,CLO_0003647,PR_P06307
MOLT4_2,CL,CLO_0007825,CLO_0011507,CL_0000084,CL_0000236,UBERON_0000178,UBERON_0001062,BTO_0000873,BTO_0000768,UBERON_0018606,BTO_0004870,CLO_0007824,GO_0042303
SKNMC,CL,CLO_0009058,CLO_0007706,CL_0000031,CL_0000001,UBERON_0000955,UBERON_0001062,BTO_0002914,BTO_0004484,-,-,CLO_0009953,-
WIL2-NS,CL,CLO_0009604,CLO_0007609,CL_0000945,CL_,UBERON_0002106,UBERON_,-,BTO_0003241,UBERON_0003709,BTO_0001524,CLO_0009601,UBERON_0003709
H7-hESC,CL,-,CLO_0037367,CL_0002322,CL_0002248,UBERON_0000922,UBERON_0000104,-,BTO_0000999,-,BTO_0006080,-,CL_0002322
MCF7_Invasive_ductal_breast_carcinoma_TAMR_E2_TAM,CL,CLO_0007606,CLO_0008471,CL_0002327,CL_0002321,UBERON_0000310,UBERON_0003105,BTO_0000093,BTO_0000188,UBERON_0000310,BTO_0002844,DOID_3008,UBERON_0000310
SKH1_chronic_myelogenous_leukemia_BCR-ABL1_positive,CL,-,CLO_0009248,CL_0000763,CL_0000451,UBERON_0000178,UBERON_0000178,-,BTO_0001609,GO_1904951,BTO_0005322,DOID_8552,GO_1904951
H1 BMP4 Derived Mesendoderm Cultured Cells,CL,-,CLO_0037295,CL_0002321,CL_2000042,UBERON_0000922,UBERON_0000104,BTO_0003953,BTO_0003247,CL_0000223,BTO_0003953,CL_0000010,CL_0000010
U2OS_osteosarcoma_HEAT_20,CL,CLO_0009454,CLO_0007712,CL_0001035,CL_0002620,UBERON_0002481,UBERON_0004339,BTO_0001938,BTO_0000923,PR_P01101,BTO_0000970,EFO_0000637,PR_P01101
BE2C_2,CL,-,CLO_0007725,CL_0000031,CL_0000003,UBERON_0000955,UBERON_0001062,BTO_0004782,BTO_0000246,-,-,CLO_0001922,ENSEMBL_ENSG00000175063
WS3TF,CL,-,CLO_0008872,CL_0002327,CL_0000127,UBERON_0000310,UBERON_0000153,-,BTO_0000916,-,-,-,-
glioblastoma cell line:T98G,CL,CLO_0009258,CLO_0003671,CL_0000057,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0001583,BTO_0000604,CL_0000030,BTO_0001530,DOID_3068,CL_0000030
HGRT,CL,CLO_0050118,CLO_0039011,CL_0002248,CL_0002003,UBERON_0002358,UBERON_0000000,-,BTO_0003619,-,-,-,-
mesothelioma cell line:ACC-MESO-4,CL,CLO_0050083,CLO_0050858,CL_0002078,CL_0000182,UBERON_0000977,UBERON_0000175,-,BTO_0006385,CL_0000077,BTO_0002424,CL_0000077,CL_0000077
Lu99B,CL,CLO_0050042,CLO_0050628,-,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0000570,-,-,CLO_0037029,-
HT1080_DOX5d,CL,CLO_0004276,CLO_0002739,CL_0000066,CL_0000030,UBERON_0002384,UBERON_0004535,BTO_0001282,BTO_0001444,-,BTO_0001282,CLO_0004266,-
MCF10A-YAP5SA_ctrl,CL,CLO_0007599,CLO_0007676,CL_0002327,CL_0000182,UBERON_0000310,UBERON_0000045,BTO_0001939,BTO_0000346,-,BTO_0001939,CLO_0007599,-
KARPAS-422_DMSO_8d,CL,CLO_0007066,CLO_0005585,CL_0000236,CL_0000031,UBERON_0000178,UBERON_0002398,BTO_0004981,BTO_0002266,-,BTO_0004981,CLO_0007066,-
G401_Dox,CL,CLO_0003434,CLO_0000657,CL_0002518,CL_0000169,UBERON_0002113,UBERON_0002048,BTO_0002586,BTO_0000184,-,BTO_0002586,CLO_0035624,CL_1000401
A498,CL,-,CLO_0050200,CL_1000497,CL_0000000,UBERON_0002113,UBERON_0000000,-,BTO_0000000,-,BTO_0003769,CLO_0009974,-
SET-2_WT_DMSO,CL,-,CLO_0000356,CL_0000553,CL_0000447,UBERON_0002371,UBERON_0001062,-,BTO_0000106,UBERON_0002109,BTO_0004212,IAO_0000100,UBERON_0001032
VACO_400,CL,-,CLO_0007594,CL_0011108,CL_0000000,UBERON_0001155,UBERON_0000000,BTO_0004764,BTO_0006439,GO_0005773,BTO_0002739,CLO_0029651,GO_0005773
TT1TKB,CL,CLO_0051401,CLO_0000178,CL_0002253,CL_0000897,UBERON_0001052,UBERON_0002113,-,BTO_0003226,-,-,CLO_0037139,-
SUIT2_TP63dN,CL,CLO_0037114,CLO_0108012,CL_1001433,CL_0002062,UBERON_0000017,UBERON_0000397,BTO_0003493,BTO_0005953,UBERON_0006337,BTO_0003493,CLO_0037114,-
MDA-MB-157_triple_negative_breast_carcinoma,CL,CLO_0007632,CLO_0002979,CL_0002327,CL_0002325,UBERON_0000310,UBERON_0000310,BTO_0006218,BTO_0006170,GO_0009895,BTO_0000185,EFO_0000305,CL_0000998
HO-1-u-1,CL,CLO_0051384,CLO_0050852,CL_0000076,CL_0000000,UBERON_0012102,UBERON_0000000,BTO_0005948,BTO_0000995,-,BTO_0000246,CLO_0009449,-
LNCaP_prostate_carcinoma_CSFCS,CL,CLO_0007365,CLO_0002423,CL_0002231,CL_0000188,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0004095,UBERON_0002367,BTO_0002021,DOID_10286,UBERON_0002367
NCI-H69,CL,CLO_0008105,CLO_0002531,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0003022,BTO_0000443,-,BTO_0003022,CLO_0003609,-
AG04450,CL,-,CLO_0002752,CL_0002553,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0000000,-,-,CLO_0034832,-
A673 STAG2 null,CL,CLO_0001605,CLO_0007787,CL_0000187,CL_0000000,UBERON_0005090,UBERON_0000000,BTO_0003768,BTO_0000011,PR_000003460,BTO_0004716,CLO_0001605,PR_000003460
HL60,CL,CLO_0003775,CLO_0000024,CL_0000763,CL_0000236,UBERON_0000178,UBERON_0000013,BTO_0000738,BTO_0000207,-,BTO_0003572,CLO_0003779,-
AG10803,CL,CLO_0021511,CLO_0050071,CL_0002620,CL_0000000,UBERON_0003684,UBERON_0000000,-,BTO_0000702,-,BTO_0001282,CLO_0021511,-
xeroderma pigentosum b cell line:XPL 17,CL,CLO_0051020,CLO_0003356,CL_0000542,CL_0000236,UBERON_0000178,UBERON_0000483,-,BTO_0000287,UBERON_0001782,-,DOID_0050427,UBERON_0001782
hFOB_undifferentiated,CL,CLO_0003737,CLO_0050865,CL_0000062,CL_0000000,UBERON_0002481,UBERON_0000000,BTO_0005224,BTO_0000744,UBERON_0005564,BTO_0005579,PATO_0002100,UBERON_0005564
RWPE1 Schlap1 rep1,CL,CLO_0008905,CLO_0007786,CL_0002231,CL_0000037,UBERON_0002367,UBERON_0002107,BTO_0003709,BTO_0000205,-,BTO_0003709,CLO_0008285,ENSEMBL_ENSG00000137804
WA01_H1_human_embryonic_stem_cells_MESEN_STEM,CL,-,CLO_0050851,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0002007,BTO_0006060,BTO_0002989,CL_0000034,BTO_0001086,CLO_0037280,CL_0002322
UACC62,CL,-,CLO_0002501,CL_2000000,CL_0000000,UBERON_0001003,UBERON_0000000,BTO_0004152,BTO_0000206,-,BTO_0004152,CLO_0037135,-
TTC1240_SMARCB1_K364del,CL,-,CLO_0050148,CL_1000497,CL_0000000,UBERON_0002113,UBERON_0000000,-,BTO_0000000,-,-,CLO_0050312,-
MCF7_CPI-455,CL,CLO_0007606,CLO_0002765,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000093,BTO_0000333,-,-,CLO_0001375,-
teratocarcinoma cell line:NCC-IT-A3,CL,CLO_0037149,CLO_0002934,CL_0000015,CL_0009000,UBERON_0000473,UBERON_0001062,-,BTO_0001169,UBERON_0010202,BTO_0000306,CLO_0001577,GO_0036484
VCaP_prostate_carcinoma_R1881_4H,CL,CLO_0037117,CLO_0007770,CL_0002231,CL_0000184,UBERON_0002367,UBERON_0002367,BTO_0003215,BTO_0002921,UBERON_0002367,BTO_0002021,DOID_10286,UBERON_0002367
TE 354.T,CL,CLO_0009299,CLO_0002847,CL_0002187,CL_0000018,UBERON_0001003,UBERON_0000478,-,BTO_0000204,-,BTO_0004443,CLO_0009299,CHEBI_25354
panc1,CL,CLO_0008381,CLO_0007764,CL_0000169,CL_0000692,UBERON_0001264,UBERON_0001264,BTO_0000304,BTO_0002085,NCBITAXON_9596,BTO_0000304,NCBITAXON_9596,UBERON_0001264
EP156T,CL,-,CLO_0007566,CL_0002231,CL_0000000,UBERON_0002367,UBERON_0000000,-,BTO_0001078,-,-,-,-
HME1,CL,CLO_0004291,CLO_0002871,CL_0002327,CL_0000003,UBERON_0000310,UBERON_0001474,-,BTO_0002785,-,BTO_0002769,CLO_0037172,PR_Q12866
