Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
WA09_embryonic_stem_cells,CL,-,H9 cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,WA-09 cell,WA-09 cell
MO1043_ICN1_HA_H3K27Ac_a,CL,-,-,B cell,-,blood,-,-,-
GIST-T1_JQ1,CL,-,GI95 cell,neural cell,-,digestive tract,stomach,-,T1 cell
HT29_colon_adenocarcinoma_ROSIG_2H,CL,HT-29 cell,HT-29 cell,colon epithelial cell,colon epithelial cell,colon,colon,HT-29 cell,HT-29 cell
FaDu,CL,FaDu cell,FaDu cell,squamous epithelial cell,squamous epithelial cell,hypopharynx,hypopharynx,FaDu cell,FaDu cell
H295R,CL,NCI-H295R cell,NCI-H295R cell,cortical cell of adrenal gland,cortical cell of adrenal gland,adrenal cortex,adrenal cortex,NCI-H295R cell,adrenocortical carcinoma cell line
OCI-Ly10,CL,-,RCB1010 cell,B cell,"lymphocyte of B lineage, CD19-positive",lymph node,lymph node,-,-
TS576,CL,-,TSHR-T5-51 cell,-,L5/6 non-Martinotti sst GABAergic interneuron (Mmus),brain,-,-,HS578 cell
HCC-1428_breast_adenocarcinoma,CL,HCC1428 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,-
MDA-MB-231_ERαWT_0min,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231-B02 cell
hiPSC,CL,human induced pluripotent stem cell line cell,human induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,-,hiPSC cell,pluripotent stem cell
MOLM14_CA25_11,CL,-,-,myeloid cell,myeloid cell,blood,hematopoietic tissue,MOLM-14 cell,MOLM-14 cell
GM15850,CL,GM15850 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
TTC-1240_Rhabdoid_tumor_of_the_kidney,CL,-,-,kidney cell,malignant cell,kidney,kidney,-,TTA-1 cell
U2OS_osteosarcoma_HEAT,CL,U-2 OS cell,-,bone cell,-,bone tissue,bone tissue,U2-OS cell,-
Ly4,CL,-,LA-4 cell,B cell,-,blood,-,-,EL-4 cell
NEC14,CL,RCB0490 cell,DA00140 cell,male germ cell,-,testis,-,-,-
CyT49_HE,CL,-,A498 cell,embryonic stem cell,embryonic stem cell,embryo,-,-,-
PC3_COMBO,CL,PC-3 cell,PC-3 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,PC-3 cell,PC-3 cell
MDA-MB-231_ER?WT_45min,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231 cell
SNU-216,CL,-,-,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,SNU-216 cell,SNU-216 cell
T_C,CL,-,immortal lymphocyte cell line cell,T cell,lymph node paracortex T cell,blood,lymphoid tissue,T-lymphocyte,T-lymphocyte
G401,CL,G-401 cell,G-401 cell,kidney epithelial cell,malignant cell,kidney,kidney,G-401 cell,G-401 cell
OCI-LY3,CL,-,OCI-M1 cell,B cell,"lymphocyte of B lineage, CD19-positive",bone marrow,lymph node,-,-
HEL92.1.7,CL,HEL 92.1.7 cell,HEL 92.1.7 cell,myeloid cell,erythroblast,blood,blood,HEL-92.1.7 cell,HEL-92.1.7 cell
ES-WA7 cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,embryo,embryonic stem cell line,embryonic stem cell line
MKN1,CL,RCB1003 cell,-,glandular epithelial cell of stomach,glandular epithelial cell of stomach,stomach,stomach,MKN-1 cell,MKN-1 cell
LoVo_colorectal_adenocarcinoma_PHASES,CL,LoVo cell,-,colon epithelial cell,colon epithelial cell,colon,colorectum,LoVo cell,colorectal adenocarcinoma cell line
ra1,CL,RAMOS cell,AG13011 cell,B cell,-,blood,-,RAMOS (RA.1) cell,-
HEK-293,CL,HEK293,-,kidney epithelial cell,kidney epithelial cell,kidney,kidney rudiment,HEK-293 cell,HEK-293 cell
C4-2,CL,LNCaP cell,immortal human prostate gland-derived cell line cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP-C4-2 cell,LNCaP-C4-2 cell
OCI-LY1,CL,-,-,B cell,B cell,bone marrow,lymph node,-,-
GIST-9_PDGFRA e18,CL,-,-,neural cell,interstitial cell of Cajal,digestive tract,alimentary part of gastrointestinal system,-,-
MCF7_Invasive_ductal_breast_carcinoma_SIGATA,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,MCF-7 cell,MCF-7 cell
DAOY_medulloblastoma,CL,Daoy cell,-,neural cell,malignant cell,cerebellum,cerebellum,DAOY cell,-
G523NS_glioblastoma,CL,-,GM00523 cell,glial cell,glioblast (sensu Nematoda and Protostomia),central nervous system,central nervous system,-,-
SCC25,CL,SCC-25 cell,SCC-25 cell,squamous epithelial cell,-,tongue,tongue,SCC-25 cell,SCC-25 cell
ATN-1,CL,RCB1440 cell,AT-1 cell,T cell,-,blood,-,-,AT1ABR cell
RWPE2,CL,RWPE-2 cell,RWPE-2 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,RWPE-2 cell,RWPE-2 cell
SupB15 ACY1035,CL,SUP-B15 cell,-,B-lymphoblast,B-lymphoblast,bone marrow,hematopoietic tissue,-,-
BICR-31,CL,BICR 31 cell,BICR 31 cell,squamous epithelial cell,-,tongue,-,-,-
IMR90_lung_fibroblasts_SENES_SHLUC,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
acute myeloid leukemia (FAB M4) cell line:HNT-34,CL,RCB1296 cell,TM-34 cell,myeloid cell,myeloid cell,blood,bone marrow,-,-
clear cell carcinoma cell line:JHOC-5,CL,RCB1520 cell,J5-1 cell,ovarian surface epithelial cell,ovarian surface epithelial cell,ovary,ovary,-,-
HT3,CL,HT-3 cell,HT-3 cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,-,HBL-3 cell
DND_41,CL,DND-41 cell,-,T cell,T cell,blood,digit 4,-,-
DHL-4,CL,SU-DHL-4 cell,SU-DHL-4 cell,B cell,B cell,blood,primary nodular lymphoid tissue,SU-DHL-4 cell,SU-DHL-4 cell
cord blood derived cell line:COBL-a 24h infection,CL,immortal human blood cell line cell,immortal human blood cell line cell,hematopoietic cell,hematopoietic cell,umbilical cord,umbilical cord,cord blood stem cell,cord blood stem cell
HT1080_WT,CL,HT-1080 cell,-,epithelial cell,-,connective tissue,connective tissue,HT-1080 cell,HT-1080 cell
NCI-H69_DMSO,CL,NCI-H69 cell,ND10932 cell,epithelial cell of lung,malignant cell,lung,lung,NCI-H69 cell,NCI-H69 cell
Mac-2A_ALK-,CL,-,-,lymphocyte,-,blood,lymphoid tissue,-,MACL-1 cell
GBM_B39,CL,GBM cell,GBM cell,neural cell,-,brain,central nervous system,glioblastoma multiforme cell line,glioblastoma multiforme cell line
T47D_invasive_ductal_carcinoma_PROG,CL,T-47D cell,T-47D cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,T-47D cell,T-47D cell
HUVEC_VEGF_4h,CL,HUV-EC-C cell,HUVE-12 cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell line
MCF7_Invasive_ductal_breast_carcinoma_SHCTR_E2,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,MCF-7 cell,MCF-7 cell
U2OS_osteosarcoma_SHNS,CL,U-2 OS cell,-,bone cell,malignant cell,bone tissue,bone tissue,U2-OS cell,U2-OS cell
PC_9,CL,-,ND10998 cell,epithelial cell of lung,epithelial cell of lung,lung,lung,PC-9 cell,PC-9 cell
HK-2,CL,HK-2 cell,HK-2 cell,epithelial cell of proximal tubule,epithelial cell of proximal tubule,proximal tubule,proximal tubule,HK-2 cell,HK-2 cell
I10_Mantle cell lymphoma tissue_THZ1,CL,-,-,B cell,B cell,blood,lymphoid tissue,mantle cell lymphoma cell,mantle cell lymphoma cell
SH-EP,CL,immortal human neuroblast cell line cell,immortal human neuroblast cell line cell,neuroblast (sensu Vertebrata),epithelial cell,nervous system,adrenal medulla,SH-EP cell,neuroblastoma cell line
osteosarcoma cell line:143B/TK^(-)neo^(R),CL,143B cell,143B cell,bone cell,-,femur,bone tissue,143-B cell,143-B cell
PC9,CL,-,-,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,PC-9 cell,non-small cell lung cancer cell line
acute myeloid leukemia (FAB M4eo) cell line:EoL-1,CL,EOL-1 cell,EOL-1 cell,myeloid cell,myeloid cell,blood,bone marrow,EoL-1 cell,EoL-1 cell
BT16,CL,BT cell,BT cell,mesenchymal cell,malignant cell,central nervous system,central nervous system,-,BT-159 cell
liposarcoma cell line:KMLS-1,CL,-,-,adipocyte,-,adipose tissue,adipose tissue,-,-
GBM_IDHmut5661,CL,-,-,neural cell,neoplastic cell,brain,central nervous system,glioblastoma multiforme cell line,glioblastoma multiforme cell line
BPE_mammary_epithelial_cells,CL,immortal human breast epithelial cell line cell,immortal human breast epithelial cell line cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary epithelial cell line,mammary epithelial cell line
697,CL,697 cell,ND07979 cell,precursor B cell,B-lymphoblast,bone marrow,hematopoietic tissue,697 cell,697 cell
HMS001,CL,-,HQ00111 cell,squamous epithelial cell,-,oropharynx,-,-,-
be2c,CL,SK-N-BE(2)-C cell,SK-N-BE(2)-C cell,neuroblast (sensu Vertebrata),malignant cell,brain,adrenal medulla,SK-N-BE(2)C cell,SK-N-BE(2)C cell
MCF-7_estradiol,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
Blue1_sporadic_Burkitt_lymphoma,CL,-,RCB0531 cell,B cell,B cell,blood,lymphoid tissue,-,-
H9_naive,CL,H9 cell,-,T cell,embryonic stem cell,blood,-,H-9 cell,embryonic stem cell line
MDA-MB-453_breast_adenocarcinoma_MPA,CL,MDA-MB-453 cell,DA00453 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-453 cell,MDA-MB-453 cell
SH-SY5Y_untreat,CL,SH-SY5Y cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),bone marrow,adrenal medulla,SH-SY5Y cell,SH-SY5Y cell
A549_3h_only,CL,A549 cell,-,epithelial cell of lung,pulmonary alveolar type 2 cell,lung,alveolus of lung,A-549 cell,lung adenocarcinoma cell line
H1_hESC_2,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,-,hESC cell,embryonic stem cell line
NEC8,CL,RCB0489 cell,Lec8 cell,male germ cell,-,testis,manual digit 8,NEC-8 cell,NEC-8 cell
EndoC-betaH2,CL,immortal human pancreas-derived epithelial cell line cell,immortal human pancreas-derived epithelial cell line cell,type B pancreatic cell,insulin secreting cell,pancreas,islet of Langerhans,pancreatic beta cell line,pancreatic beta cell line
BT168_glioblastoma_stem_cells,CL,-,-,stem cell,stem cell,central nervous system,-,-,BT-159 cell
CLB-MA,CL,-,FIB-CL1 cell,neuroblast (sensu Vertebrata),-,nervous system,cloacal bursa,-,CL-48 cell
gastrointestinal carcinoma cell line:ECC12,CL,RCB1009 cell,AG12119 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,digestive tract,-,UM-SCC-12 cell
SW872_YAP5SA,CL,SW 872 cell,-,adipocyte,-,connective tissue,connective tissue,SW-872 cell,liposarcoma cell line
MKL-1,CL,-,GM01531 cell,Merkel cell,neuroendocrine cell,skin epidermis,skin epidermis,-,JURL-MK1 cell
GM04604,CL,GM04604 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
HeLa-S3 Cervical Carcinoma Cell Line,CL,HeLa S3 cell,HeLa S3 cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,HeLa-S3 cell,HeLa-S3 cell
AzH-G2/M,CL,-,ARH-77 cell,-,-,embryo,-,-,-
MDA-MB-157,CL,MDA-MB-157 cell,MDA-MB-157 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-157 cell,MDA-MB-157 cell
LNCaP95_shARfl_DHT,CL,LNCAP cell,LNCAP cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP-95 cell,LNCaP-95 cell
SHEP with tetracycline inducible MYC_DOX_6HR,CL,immortal neuroblast cell line cell,immortal neuroblast cell line cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),nervous system,nervous system,SH-EP cell,neuroblastoma cell line
WHIM12,CL,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,breast adenocarcinoma cell line,breast adenocarcinoma cell line
NCI-H460,CL,NCI-H460 cell,NCI-H460 cell,epithelial cell of lung,epithelial cell of lung,lung,pleural effusion,NCI-H460 cell,NCI-H460 cell
DAOY,CL,Daoy cell,-,neural cell,malignant cell,cerebellum,cerebellum,DAOY cell,-
RH3,CL,-,R3 [33-10ras3] cell,bronchial smooth muscle cell,malignant cell,alveolar smooth muscle,alveolar smooth muscle,Rh-3 cell,Rh-3 cell
TEX-HIST1H3F-WT-Rx_cells,CL,-,-,stem cell,-,bone marrow,-,TEX cell,-
GIST-3_KIT e11,CL,-,-,neural cell,interstitial cell of Cajal,digestive tract,alimentary part of gastrointestinal system,-,-
MonoMac6,CL,MONO-MAC-6 cell,MC-6 cell,monocyte,monocyte,blood,hematopoietic system,Mono-Mac-6 cell,Mono-Mac-6 cell
hTERT-HME1,CL,hTERT-HME1 cell,immortal human mammary gland-derived cell line cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,mammary epithelial cell line,mammary epithelial cell line
JHU-029_laryngeal_squamous_cell_carcinoma,CL,-,ND09989 cell,squamous epithelial cell,squamous epithelial cell,larynx,larynx,JHU-029 cell,JHU-029 cell
iPS_DF_19_11,CL,human induced pluripotent stem cell line cell,human induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,dermis connective tissue,pluripotent stem cell,pluripotent stem cell
RL,CL,RL cell,RL cell,B cell,B cell,blood,lymph node,RL cell,diffuse large B-cell lymphoma cell line
NCI-H1299-wtSMARCA4_Dox_SAHA,CL,NCI-H1299 cell,-,epithelial cell of lung,-,lung,lung,NCI-H1299 cell,NCI-H1299 cell
GBM_4218_0,CL,Tumor-derived cell line,Tumor-derived cell line,glial cell,-,brain,central nervous system,glioblastoma cell line,glioblastoma cell line
carcinoid cell line:SK-PN-DW,CL,SK-PN-DW cell,-,neural cell,neuroendocrine cell,nervous system,-,-,-
Wilms' tumor cell line:HFWT,CL,RCB0665 cell,-,kidney epithelial cell,malignant cell,kidney,kidney,-,hFOB 1.19 cell
MDA-MB-231_ER?WT_0min,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231 cell
RS4_11_AZD1775 _4h,CL,RS4;11 cell,ND11234 cell,lymphocyte of B lineage,lymphocyte of B lineage,bone marrow,hematopoietic tissue,RS4-11 cell,RS4-11 cell
Hu5,CL,-,-,mesenchymal cell,-,mesenchyme,-,-,HUVE-12 cell
TC797,CL,-,CS77iSMA-n5 cell,-,Tc17 cell,-,digit 7,-,Caco-2/TC7 cell
Glioblastoma neurosphere cell_HF-3035,CT,-,-,glial cell,glioblast (sensu Vertebrata),central nervous system,central nervous system,glioblastoma cell line,glioma stem cell
Stromal_heart_2,CT,-,-,stromal cell,fibroblast of cardiac tissue,heart,cardiac muscle tissue,mesenchymal stromal cell,mesenchymal stromal cell
foreskin-keratinocyte-calcium5.5day,CT,-,-,foreskin keratinocyte,-,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
PAEP_MECOM_pos_placenta,CT,-,-,placental villous trophoblast,placental villous trophoblast,placenta,placenta,trophoblast,trophoblast
GMP_Frozen_BM1077,CT,-,-,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,bone marrow,bone marrow,bone marrow cell,bone marrow cell
Chondrocyte - re diff donor2,CT,-,-,chondrocyte,chondrocyte,cartilage tissue,cartilage tissue,chondrocyte,chondrocyte
GBM07,CT,GBM cell,-,glial cell,astrocyte,brain,central nervous system,glioblastoma cell,glioblastoma cell
MPAL1_T2_4,CT,-,-,hematopoietic cell,blastemal cell,blood,hematopoietic tissue,acute undifferentiated leukemia cell,acute undifferentiated leukemia cell
Myeloid_liver_0,CT,-,-,myeloid cell,Kupffer cell,liver,liver,myeloid cell line,Kupffer cell
750T,CT,-,-,kidney cell,neoplastic cell,kidney,-,-,carcinoma cell
CluB_D,CT,-,-,club cell,fraction D precursor B cell,lung,-,-,-
Astro_Oligodendro_cerebrum_2,CT,-,-,glial cell,astrocyte,brain,obsolete cerebrum,astrocyte,astrocyte
Macrophages_GM-CSF_72h,CT,-,-,macrophage,macrophage,blood,-,macrophage,bone marrow-derived macrophage
Th2,CT,-,-,T-helper 2 cell,T-helper 2 cell,immune system,lymphoid tissue,Th2 cell,Th2 cell
Glioblastoma neurosphere cell_HF-3016,CT,-,-,glial cell,-,central nervous system,neural tube derived brain,glioblastoma cell line,glioma stem cell
NHEK-Epidermal_Keratinocytes,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,NHEK cell,keratinocyte
Ik6pre-BALL+TET-emptyvector,CT,-,-,hematopoietic cell,precursor B cell,blood,bone marrow,pre-B acute lymphoblastic leukemia cell,pre-B acute lymphoblastic leukemia cell
NH-A astrocyte,CT,-,-,astrocyte,astrocyte,central nervous system,central nervous system,astrocyte,astrocyte
Renal Proximal Tubular Epithelial Cell donor2,CT,-,-,epithelial cell of proximal tubule,epithelial cell of proximal tubule,proximal tubular epithelium,proximal tubular epithelium,renal proximal tubule epithelial cell,renal proximal tubule epithelial cell
cervical-cancer_KDM5C,CT,-,-,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,cervical carcinoma cell,cervical carcinoma cell
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,-,mesenchymal stem cell of the bone marrow,mesenchymal stem cell of the bone marrow,bone marrow,bone marrow,bone marrow stem cell,bone marrow stem cell
ILC1,CT,-,-,group 1 innate lymphoid cell,group 1 innate lymphoid cell,immune system,-,-,MSK-Leuk1 cell
Naive_Treg,CT,-,-,naive regulatory T cell,naive regulatory T cell,thymus,secondary nodular lymphoid tissue,-,-
Lung cancer-derived Cell Lines,CT,-,-,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,lung cancer cell line,lung cancer cell line
"CD8-positive, alpha-beta T cell",CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,T cell domain,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
MPNST007_PRC2 WT,CT,-,-,-,-,nerve,nerve,malignant peripheral nerve sheath cancer cell,malignant peripheral nerve sheath cancer cell
Excitatory_neur_cerebrum_6,CT,-,-,neuron,glutamatergic neuron,brain,-,cerebral cortical neuron,cerebral cortical neuron
Club-A,CT,-,-,club cell,lung secretory cell,lung,epithelium of respiratory bronchiole,bronchial epithelial cell,bronchial epithelial cell
fibroblast_of_pulmonary_artery,CT,-,-,fibroblast of pulmonary artery,fibroblast of pulmonary artery,pulmonary artery,pulmonary artery,lung fibroblast,lung fibroblast
GMP_BM1214,CT,-,-,granulocyte monocyte progenitor cell,granulocyte monocyte progenitor cell,bone marrow,bone marrow,-,-
Glioblastoma Cell Lines,CT,-,-,glial cell,glioblast,central nervous system,cerebral hemisphere,glioblastoma cell line,glioblastoma cell line
CD4_TH1_DMSO,CT,-,-,T-helper 1 cell,T-helper 1 cell,immune system,-,Th1 cell,Th1 cell
Fibroblast - skin spinal muscular atrophy donor2,CT,-,-,skin fibroblast,skin fibroblast,skin epidermis,skin epidermis,skin fibroblast,skin fibroblast
Neural Crest Cells,CT,-,-,neural crest cell,neural crest cell,neural crest,neural crest,neural crest cell,neural crest cell
Endothelial Cells - Lymphatic donor1,CT,-,-,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,lymphatic vessel,lymphatic vessel,lymphatic endothelial cell,lymphatic endothelial cell
Stromal_placenta_4,CT,-,-,stromal cell,stromal cell,placenta,placenta,mesenchymal stromal cell,mesenchymal stromal cell
Syn_vil_cytoTrophobs_placenta_1,CT,-,-,stem cell,placental villous trophoblast,placenta,placenta,villous cytotrophoblast,villous cytotrophoblast
Fibrob_BCC,CT,-,-,fibroblast,fibroblast,connective tissue,embryonic skin basal layer,fibroblast,fibroblast
induced pluripotent stem cell derived Neuronal progenitor cell,CT,-,-,neural progenitor cell,neural progenitor cell,nervous system,nervous system,-,NPA cell
Endothelial Cells - Aortic donor3,CT,-,-,aortic endothelial cell,aortic endothelial cell,aorta,aorta,aortic endothelial cell,aortic endothelial cell
Th17-IL-10- Day 5,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,-,Th17 cell,Th17 cell
adult CD4+CD25hiCD127lo regulatory T cells,CT,-,-,regulatory T cell,"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",immune system,T cell domain,-,-
thymocyte,CT,-,-,thymocyte,thymocyte,thymus,thymus,thymocyte,thymocyte
DIPGIV,CT,-,-,glial cell,glial cell,brain,brain,glioma cell,glioma cell
Pro-B,CT,-,-,pro-B cell,pro-B cell,bone marrow,bone marrow,pro-B-lymphocyte,pro-B-lymphocyte
dermal_fibroblasts,CT,-,-,fibroblast of dermis,fibroblast of dermis,dermis,dermis,dermal fibroblast,dermal fibroblast
Endothelial Cells - Umbilical vein donor3,CT,-,-,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical vein,umbilical vein,umbilical vein endothelial cell,umbilical vein endothelial cell
MM001_Primary_Melanoma,CT,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,melanoma cell,melanoma cell
GBM35,CT,GBM cell,-,glial cell,glioblast,brain,neural tissue,glioblastoma multiforme cell,glioblastoma multiforme cell
Myeloid_liver_3,CT,-,-,myeloid cell,myeloid cell,liver,liver,myeloid cell line,myeloid cell line
Inhib_neur_cerebrum_2,CT,-,-,neuron,GABAergic interneuron,brain,telencephalon,-,-
fetal_prostate_fibroblasts,CT,-,-,fibroblast of connective tissue of prostate,fibroblast of connective tissue of prostate,connective tissue of prostate gland,connective tissue of prostate gland,-,-
Primary haematopoietic stem cells (HSCs),CT,-,-,hematopoietic stem cell,hematopoietic stem cell,bone marrow,bone marrow,hematopoietic stem cell,hematopoietic stem cell
EM CD4+ ab T (PB),CT,-,-,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell",blood,blood,-,-
Adrenocortical_adrenal_3,CT,-,-,cortical cell of adrenal gland,cortical cell of adrenal gland,adrenal gland,adrenal gland,adrenocortical cell,adrenocortical cell
Myeloid_adrenal,CT,-,-,myeloid cell,"myeloid dendritic cell, human",adrenal gland,adrenal gland,myeloid cell line,bone marrow-derived macrophage
Endothelial Cells - Vein donor2,CT,-,-,vein endothelial cell,endothelial cell of venule,vein,venous blood vessel,venous endothelial cell,venous endothelial cell
Bone marrow derived hMSC_d0,CT,-,-,mesenchymal stem cell of the bone marrow,mesenchymal stem cell of the bone marrow,bone marrow,bone marrow,bone marrow stromal stem cell,bone marrow stromal stem cell
SGBS,CT,-,-,stromal cell,-,adipose tissue,adipose tissue,-,adipocyte cell line
Crc Cell,CT,-,-,colon epithelial cell,malignant cell,colorectum,colorectum,colorectal cancer cell,colorectal cancer cell
Renal Glomerular Endothelial Cells donor2,CT,-,-,glomerular endothelial cell,glomerular endothelial cell,glomerular capillary,glomerular capillary,glomerular endothelial cell,glomerular endothelial cell
round spermatids,CT,-,-,spermatid,spermatid,testis,testis,spermatid,spermatid
Smooth Muscle Cells - Umbilical Artery donor3,CT,-,-,smooth muscle cell of the umbilical artery,smooth muscle cell of the umbilical artery,umbilical smooth muscle,umbilical smooth muscle,vascular smooth muscle cell,vascular smooth muscle cell
LTED_breast_cancer,CT,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,breast cancer cell line,breast cancer cell line
Foreskin melanocyte,CT,-,-,foreskin melanocyte,foreskin melanocyte,prepuce of penis,prepuce of penis,foreskin melanocyte cell line,foreskin melanocyte cell line
MyoFibrob_B,CT,-,-,myofibroblast cell,myofibroblast cell,connective tissue,collagenous dermal stroma,myofibroblast,myofibroblast
primary-glioblastoma,CT,-,-,glial cell,glioblast,central nervous system,cerebral hemisphere,glioblastoma cell line,glioblastoma cell line
Capillary_1_E,CT,-,-,capillary endothelial cell,capillary endothelial cell,endothelium of capillary,endothelium of capillary,capillary endothelial cell,capillary endothelial cell
FX52 iPSCs dC-T,CT,-,-,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
LCL_lymphoblastoid_cell_line_ETOH,CT,-,-,lymphoblast,"lymphocyte of B lineage, CD19-positive",blood,blood,lymphoblastoid cell line,lymphoblastoid cell line
Human Embryos,CT,-,-,embryonic cell (metazoa),embryonic stem cell,embryo,embryo,embryo,embryo
Peripheral_Blood_Mononuclear_Primary_Cells,CT,-,-,peripheral blood mononuclear cell,peripheral blood mononuclear cell,blood,blood,peripheral blood mononuclear cell,peripheral blood mononuclear cell
Syn_vil_cytoTrophobs_1,CT,-,-,stem cell,mononuclear cytotrophoblast cell,placenta,chorionic villus,villous cytotrophoblast,villous cytotrophoblast
bipolar neuron,CT,-,-,bipolar neuron,bipolar neuron,nervous system,olfactory epithelium,-,olfactory receptor neuron
B_B,CT,-,-,B cell,lymphocyte of B lineage,blood,-,B-lymphocyte,B-lymphocyte
Vascular_endothelial_spleen,CT,-,-,splenic endothelial cell,splenic endothelial cell,spleen,spleen,vascular endothelial cell,vascular endothelial cell
Neurons donor2,CT,-,-,neuron,neuron,nervous system,neural tissue,neuron,neuron
HEMn,CT,-,-,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,melanocyte,melanocyte
M0_CB,CT,-,-,macrophage,macrophage,blood,umbilical cord blood,macrophage,macrophage
CD34_cells_ERYTH_BIO,CT,-,-,erythroid lineage cell,"CD34-positive, GlyA-negative erythroid progenitor cell",bone marrow,-,erythroid cell,erythroid cell
CD8 Naive 8pool,CT,-,-,"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",thymus,venous blood,-,-
Vascular Endothelial Cell,CT,-,-,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelium,endothelium,vascular endothelial cell,vascular endothelial cell
Mesothelial Cells donor1,CT,-,-,mesothelial cell,mesothelial cell,serous cavity,serous cavity,mesothelioma cell,mesothelioma cell
Monocyte_2,CT,-,-,monocyte,monocyte,blood,circulatory system,monocyte,monocyte
Preadipocyte - subcutaneous donor2,CT,-,-,preadipocyte,preadipocyte,subcutaneous adipose tissue,subcutaneous adipose tissue,preadipocyte,preadipocyte
GBM,CT,-,-,glial cell,glioblast,central nervous system,central nervous system,glioblastoma multiforme cell,glioblastoma multiforme cell
Pre-B,CT,-,-,precursor B cell,pre-B-II cell,bone marrow,bone marrow,pre-B-lymphocyte,pre-B-lymphocyte
Induced Pluripotent Stem Cells,CT,induced pluripotent stem cell line cell,-,pluripotent stem cell,pluripotent stem cell,-,-,hiPSC cell,pluripotent stem cell
